?cls	?xref
<http://purl.obolibrary.org/obo/ZFA_0000355>	"TAO:0000355"
<http://purl.obolibrary.org/obo/ZFA_0009158>	"CL:0000312"
<http://purl.obolibrary.org/obo/ZFA_0009158>	"TAO:0009158"
<http://purl.obolibrary.org/obo/ZFA_0005215>	"TAO:0005215"
<http://purl.obolibrary.org/obo/ZFA_0005229>	"TAO:0005229"
<http://purl.obolibrary.org/obo/ZFA_0005056>	"TAO:0005056"
<http://purl.obolibrary.org/obo/ZFA_0005325>	"TAO:0005325"
<http://purl.obolibrary.org/obo/ZFA_0005745>	"CL:0000293"
<http://purl.obolibrary.org/obo/ZFA_0000027>	"TAO:0000027"
<http://purl.obolibrary.org/obo/ZFA_0005339>	"TAO:0005339"
<http://purl.obolibrary.org/obo/ZFA_0001489>	"TAO:0001489"
<http://purl.obolibrary.org/obo/ZFA_0001489>	"CARO:0000019"
<http://purl.obolibrary.org/obo/ZFA_0009324>	"CL:0000763"
<http://purl.obolibrary.org/obo/ZFA_0009324>	"TAO:0009324"
<http://purl.obolibrary.org/obo/ZFA_0000313>	"TAO:0000313"
<http://purl.obolibrary.org/obo/ZFA_0001286>	"TAO:0001286"
<http://purl.obolibrary.org/obo/ZFA_0001039>	"TAO:0001039"
<http://purl.obolibrary.org/obo/ZFA_0000978>	"TAO:0000978"
<http://purl.obolibrary.org/obo/ZFA_0000502>	"TAO:0000502"
<http://purl.obolibrary.org/obo/ZFA_0005167>	"TAO:0005167"
<http://purl.obolibrary.org/obo/ZFA_0009241>	"CL:0000529"
<http://purl.obolibrary.org/obo/ZFA_0009241>	"TAO:0009241"
<http://purl.obolibrary.org/obo/ZFA_0001149>	"TAO:0001149"
<http://purl.obolibrary.org/obo/ZFA_0000612>	"TAO:0000612"
<http://purl.obolibrary.org/obo/ZFS_0000009>	"ZFIN:ZDB-TERM-100331-2439"
<http://purl.obolibrary.org/obo/ZFS_0000009>	"ZFIN:ZDB-STAGE-010723-1"
<http://purl.obolibrary.org/obo/ZFA_0001643>	"TAO:0001668"
<http://purl.obolibrary.org/obo/ZFA_0001643>	"CARO:0000005"
<http://purl.obolibrary.org/obo/ZFA_0001205>	"TAO:0001205"
<http://purl.obolibrary.org/obo/ZFA_0005111>	"TAO:0005111"
<http://purl.obolibrary.org/obo/ZFA_0005035>	"TAO:0005035"
