?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ZFS_0000045>	<http://www.w3.org/2000/01/rdf-schema#label>	"blastula"	
<http://purl.obolibrary.org/obo/ZFA_0005333>	<http://www.w3.org/2000/01/rdf-schema#label>	"tongue"	
<http://purl.obolibrary.org/obo/ZFA_0000035>	<http://www.w3.org/2000/01/rdf-schema#label>	"lens"	
<http://purl.obolibrary.org/obo/ZFA_0000867>	<http://www.w3.org/2000/01/rdf-schema#label>	"epaxial region somite 18"	
<http://purl.obolibrary.org/obo/ZFA_0001241>	<http://www.w3.org/2000/01/rdf-schema#label>	"ceratobranchial 3 bone"	
<http://purl.obolibrary.org/obo/ZFA_0005486>	<http://www.w3.org/2000/01/rdf-schema#label>	"quadrate-metapterygoid joint"	
<http://purl.obolibrary.org/obo/ZFA_0009256>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleate erythrocyte"	
<http://purl.obolibrary.org/obo/ZFA_0009065>	<http://www.w3.org/2000/01/rdf-schema#label>	"endothelial cell"	
<http://purl.obolibrary.org/obo/ZFA_0001280>	<http://www.w3.org/2000/01/rdf-schema#label>	"branchiostegal ray 3"	
<http://purl.obolibrary.org/obo/ZFA_0005596>	<http://www.w3.org/2000/01/rdf-schema#label>	"paired fin"	
<http://purl.obolibrary.org/obo/ZFA_0001524>	<http://www.w3.org/2000/01/rdf-schema#label>	"hypobranchial 1 cartilage"	
<http://purl.obolibrary.org/obo/ZFA_0001351>	<http://www.w3.org/2000/01/rdf-schema#label>	"stratum album centrale"	
<http://purl.obolibrary.org/obo/ZFA_0000298>	<http://www.w3.org/2000/01/rdf-schema#label>	"vent"	
<http://purl.obolibrary.org/obo/ZFA_0009053>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensory neuron"	
<http://purl.obolibrary.org/obo/ZFA_0005864>	<http://www.w3.org/2000/01/rdf-schema#label>	"retinotectal tract"	
<http://purl.obolibrary.org/obo/ZFA_0005126>	<http://www.w3.org/2000/01/rdf-schema#label>	"intestinal bulb epithelium"	
<http://purl.obolibrary.org/obo/ZFA_0005878>	<http://www.w3.org/2000/01/rdf-schema#label>	"oogonia"	
<http://purl.obolibrary.org/obo/ZFA_0005652>	<http://www.w3.org/2000/01/rdf-schema#label>	"aponeurosis"	
<http://purl.obolibrary.org/obo/ZFA_0001108>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior commissure"	
<http://purl.obolibrary.org/obo/ZFA_0009338>	<http://www.w3.org/2000/01/rdf-schema#label>	"mature gamma-delta T cell"	
<http://purl.obolibrary.org/obo/ZFA_0001634>	<http://www.w3.org/2000/01/rdf-schema#label>	"perichondrium"	
<http://purl.obolibrary.org/obo/ZFA_0005236>	<http://www.w3.org/2000/01/rdf-schema#label>	"basophilic erythroblast"	
<http://purl.obolibrary.org/obo/ZFA_0005762>	<http://www.w3.org/2000/01/rdf-schema#label>	"subcutaneous fat"	
<http://purl.obolibrary.org/obo/ZFA_0001384>	<http://www.w3.org/2000/01/rdf-schema#label>	"pelvic fin bud"	
<http://purl.obolibrary.org/obo/ZFA_0005389>	<http://www.w3.org/2000/01/rdf-schema#label>	"gill opening"	
<http://purl.obolibrary.org/obo/ZFA_0005043>	<http://www.w3.org/2000/01/rdf-schema#label>	"nevus"	
<http://purl.obolibrary.org/obo/ZFA_0000207>	<http://www.w3.org/2000/01/rdf-schema#label>	"fin musculature"	
<http://purl.obolibrary.org/obo/ZFA_0000452>	<http://www.w3.org/2000/01/rdf-schema#label>	"urohyal"	
<http://purl.obolibrary.org/obo/ZFA_0001427>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior naris"	
<http://purl.obolibrary.org/obo/ZFA_0005499>	<http://www.w3.org/2000/01/rdf-schema#label>	"circulus"	
<http://purl.obolibrary.org/obo/ZFA_0001476>	<http://www.w3.org/2000/01/rdf-schema#label>	"presumptive organ system"	
<http://purl.obolibrary.org/obo/ZFA_0000914>	<http://www.w3.org/2000/01/rdf-schema#label>	"floor plate telencephalic region"	
<http://purl.obolibrary.org/obo/ZFA_0009311>	<http://www.w3.org/2000/01/rdf-schema#label>	"spinal accessory motor neuron"	
<http://purl.obolibrary.org/obo/ZFA_0001537>	<http://www.w3.org/2000/01/rdf-schema#label>	"mesocoracoid cartilage"	
<http://purl.obolibrary.org/obo/ZFA_0001051>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal division of the internal carotid artery"	
<http://purl.obolibrary.org/obo/ZFA_0001586>	<http://www.w3.org/2000/01/rdf-schema#label>	"pectoral fin radial"	
<http://purl.obolibrary.org/obo/ZFS_0007000>	<http://www.w3.org/2000/01/rdf-schema#label>	"hatching"	
<http://purl.obolibrary.org/obo/ZFA_0001329>	<http://www.w3.org/2000/01/rdf-schema#label>	"retinal inner plexiform layer"	
<http://purl.obolibrary.org/obo/ZFS_0000031>	<http://www.w3.org/2000/01/rdf-schema#label>	"pharyngula:prim-25"	
<http://purl.obolibrary.org/obo/ZFA_0007043>	<http://www.w3.org/2000/01/rdf-schema#label>	"hindbrain neural tube"	
<http://purl.obolibrary.org/obo/ZFA_0000549>	<http://www.w3.org/2000/01/rdf-schema#label>	"posttemporal"	
<http://purl.obolibrary.org/obo/ZFA_0000947>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal fin proximal radial"	
<http://purl.obolibrary.org/obo/ZFA_0009171>	<http://www.w3.org/2000/01/rdf-schema#label>	"visual pigment cell (sensu Vertebrata)"	
<http://purl.obolibrary.org/obo/ZFA_0005472>	<http://www.w3.org/2000/01/rdf-schema#label>	"inter-frontal joint"	
<http://purl.obolibrary.org/obo/ZFA_0000355>	<http://www.w3.org/2000/01/rdf-schema#label>	"roof plate midbrain region"	
<http://purl.obolibrary.org/obo/ZFA_0009158>	<http://www.w3.org/2000/01/rdf-schema#label>	"keratinocyte"	
<http://purl.obolibrary.org/obo/ZFA_0005215>	<http://www.w3.org/2000/01/rdf-schema#label>	"MeLm"	
<http://purl.obolibrary.org/obo/ZFA_0005229>	<http://www.w3.org/2000/01/rdf-schema#label>	"optic choroid"	
<http://purl.obolibrary.org/obo/ZFA_0005056>	<http://www.w3.org/2000/01/rdf-schema#label>	"palatocerebral vein"	
<http://purl.obolibrary.org/obo/ZFA_0005582>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal proneural cluster"	
<http://purl.obolibrary.org/obo/ZFA_0005325>	<http://www.w3.org/2000/01/rdf-schema#label>	"integument ionocyte"	
<http://purl.obolibrary.org/obo/ZFA_0005745>	<http://www.w3.org/2000/01/rdf-schema#label>	"structural cell"	
<http://purl.obolibrary.org/obo/ZFA_0000027>	<http://www.w3.org/2000/01/rdf-schema#label>	"paired fin skeleton"	
<http://purl.obolibrary.org/obo/ZFA_0005339>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleus of the lateral recess"	
<http://purl.obolibrary.org/obo/ZFA_0001489>	<http://www.w3.org/2000/01/rdf-schema#label>	"compound organ component"	
