?x	?p	?y
<http://purl.obolibrary.org/obo/ZFA_0005749>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000035>
<http://purl.obolibrary.org/obo/ZFA_0005274>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000513>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0009113>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0000788>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000035>
<http://purl.obolibrary.org/obo/ZFA_0007034>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000024>
<http://purl.obolibrary.org/obo/ZFA_0005623>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005312>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000151>
<http://purl.obolibrary.org/obo/ZFA_0001293>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000529>
<http://purl.obolibrary.org/obo/ZFA_0001100>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000032>
<http://purl.obolibrary.org/obo/ZFA_0001654>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001114>
<http://purl.obolibrary.org/obo/ZFA_0005503>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001252>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001232>
<http://purl.obolibrary.org/obo/ZFA_0000879>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0000980>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0005803>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000243>
<http://purl.obolibrary.org/obo/ZFA_0000555>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0005726>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0005676>
<http://purl.obolibrary.org/obo/ZFA_0001472>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001470>
<http://purl.obolibrary.org/obo/ZFA_0009086>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0007095>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000031>
<http://purl.obolibrary.org/obo/ZFA_0000216>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000473>
<http://purl.obolibrary.org/obo/ZFA_0009056>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000724>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000934>
<http://purl.obolibrary.org/obo/ZFA_0005477>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005056>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0005297>
<http://purl.obolibrary.org/obo/ZFA_0000884>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001020>
<http://purl.obolibrary.org/obo/ZFA_0001686>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0005097>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001058>
<http://purl.obolibrary.org/obo/ZFA_0000895>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0000310>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0009235>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005712>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0005104>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000028>
<http://purl.obolibrary.org/obo/ZFA_0001192>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001629>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005174>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001516>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0009135>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000142>
<http://purl.obolibrary.org/obo/ZFA_0005670>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0001051>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0005081>
<http://purl.obolibrary.org/obo/ZFA_0001089>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001056>
<http://purl.obolibrary.org/obo/ZFS_0000036>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFS_0000048>
<http://purl.obolibrary.org/obo/ZFA_0009031>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000656>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0001013>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0000566>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/ZFA_0000411>
<http://purl.obolibrary.org/obo/ZFA_0000509>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000101>
<http://purl.obolibrary.org/obo/ZFA_0005098>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000138>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000022>
<http://purl.obolibrary.org/obo/ZFA_0005441>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0009202>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001670>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000135>
<http://purl.obolibrary.org/obo/ZFA_0001369>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000031>
<http://purl.obolibrary.org/obo/ZFA_0009199>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000368>
<http://purl.obolibrary.org/obo/ZFA_0005839>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000036>
<http://purl.obolibrary.org/obo/ZFA_0000173>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000032>
<http://purl.obolibrary.org/obo/ZFA_0005401>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0001460>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0000091>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001204>
<http://purl.obolibrary.org/obo/ZFA_0001316>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000025>
<http://purl.obolibrary.org/obo/ZFA_0000545>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0001707>
<http://purl.obolibrary.org/obo/ZFA_0005815>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001132>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000028>
<http://purl.obolibrary.org/obo/ZFA_0000450>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/ZFA_0000160>
<http://purl.obolibrary.org/obo/ZFA_0001468>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000025>
<http://purl.obolibrary.org/obo/ZFA_0000140>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/ZFA_0001390>
<http://purl.obolibrary.org/obo/ZFA_0000221>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0007035>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000026>
<http://purl.obolibrary.org/obo/ZFA_0000665>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
